Designator,Mid X,Mid Y,Rotation,Layer
_2,80.5942,26.8732,0.0,top
,92.2782,27.0256,0.0,top
BZ1,75.9406,75.0316,0.0,top
C1,23.3426,-1.5025,270.0,bottom
C10,26.6954,42.5919,90.0,bottom
C11,33.2447,69.1642,180.0,bottom
C12,29.0576,69.1388,0.0,bottom
C2,23.3426,2.3075,90.0,bottom
C3,11.4046,27.5968,0.0,bottom
C4,31.2166,28.7528,180.0,bottom
C5,75.5631,68.072,180.0,bottom
C6,82.4426,68.072,0.0,bottom
C7,25.3746,82.55,90.0,bottom
C8,25.3746,77.216,270.0,bottom
C9,13.4874,36.0934,0.0,bottom
Door1,43.6426,46.3554,270.0,top
ESP32,86.5886,15.758,0.0,top
J1,20.7518,58.7756,0.0,top
J10,102.9426,51.816,180.0,top
J11,40.7546,5.5454,90.0,top
J12,41.5798,27.7746,90.0,top
J13,39.7847,79.502,90.0,top
J14,39.7847,83.947,90.0,top
J2,21.4376,42.8322,0.0,top
J3,22.0726,22.212,0.0,top
J4,56.6166,-4.572,0.0,top
J5,81.2546,47.152,0.0,top
J6,102.5906,38.608,0.0,top
J7,70.5866,38.608,0.0,top
J_SPI_3,54.0766,28.054,0.0,top
J_SPI_4,54.5846,8.128,0.0,top
J_SPI_5,85.0646,88.4428,270.0,top
J_U1A1,55.7252,65.4904,0.0,top
J_U1B1,49.4538,65.4712,0.0,top
J_U2A1,55.5082,47.4316,0.0,top
J_U2B1,48.0822,47.3456,0.0,top
J_U6,81.1206,6.223,0.0,top
Jmaster1,15.7226,76.2,0.0,top
LED_lum1,11.0767,17.386,180.0,bottom
LED_mtr1,11.2167,-3.1414,180.0,bottom
LT1,32.0967,81.974,0.0,top
LT_XT1,35.5346,72.644,0.0,top
MH235,83.0256,13.335,0.0,top
MH434,90.1376,-4.318,0.0,top
Q1,41.7706,-5.1024,0.0,top
Q2,42.6466,16.9288,0.0,top
R1,34.8778,6.663,0.0,bottom
R10,99.4426,61.882,180.0,bottom
R11,99.4426,79.7002,180.0,bottom
R12,99.4426,64.4275,180.0,bottom
R13,99.4426,82.2456,180.0,bottom
R14,99.4426,66.9729,180.0,bottom
R15,45.9138,67.3608,0.0,bottom
R17,42.2562,43.434,0.0,bottom
R18,31.9426,22.352,270.0,bottom
R19,34.8926,22.352,270.0,bottom
R2,34.8778,3.713,0.0,bottom
R23,45.9138,56.7944,0.0,bottom
R29,41.1386,61.976,0.0,bottom
R3,99.4426,69.5184,180.0,bottom
R30,45.5582,61.976,180.0,bottom
R31,42.2054,49.1744,0.0,bottom
R32,15.6567,17.341,180.0,bottom
R33,15.3038,-3.1414,180.0,bottom
R4,99.4426,54.2456,180.0,bottom
R5,99.4426,72.0638,180.0,bottom
R6,99.4426,56.7911,180.0,bottom
R7,99.4426,74.6093,180.0,bottom
R8,99.4426,59.3365,180.0,bottom
R9,99.4426,77.1547,180.0,bottom
SW1,21.4122,63.1444,0.0,top
SW2,22.225,48.1076,0.0,top
SW_U3,45.1866,22.0088,0.0,top
SW_U4,44.3106,0.0082,0.0,top
SW_U5,79.9026,52.382,180.0,top
U1,32.8106,62.552,270.0,top
U1_XT1,22.8092,52.5526,0.0,top
U2,33.0626,42.5622,0.0,top
U2_XT1,56.1086,34.036,180.0,top
U3,33.0626,23.042,0.0,top
U3_PW1,50.4426,28.059,0.0,top
U3_XT_L1,22.0726,31.242,0.0,top
U3_XT_R1,22.3266,12.192,0.0,top
U4,32.7476,1.8564,0.0,top
U4_PW1,50.7746,8.143,0.0,top
U4_XT_L1,14.1986,-7.62,0.0,top
U4_XT_R1,31.2166,9.652,0.0,top
U5,80.1926,61.382,0.0,top
U5_PW1,80.4926,84.836,270.0,top
U5_XT1,69.0626,82.296,270.0,top
U6,95.9358,69.7992,180.0,top
U7,95.9358,46.9392,180.0,top
U8,85.1846,8.509,0.0,top
Window1,42.9006,65.151,270.0,top
Window2,43.1546,58.674,270.0,top
Window_1,46.2026,65.024,270.0,top
Window_2,46.2026,58.7525,270.0,top
Y1,20.9846,67.056,0.0,bottom
Y2,21.8186,38.1,0.0,bottom
Y_LT1,21.8186,80.5219,90.0,bottom
Y_U3,22.1446,27.546,0.0,bottom
Y_U4,19.5326,2.976,270.0,bottom
Y_U5,79.1191,71.628,0.0,bottom
door_1,42.6743,43.4848,0.0,top
